Issue Date	Destination	Ship name	Ship nationality	Sailing	Merchant	Count	Unit	Commodity
1906-08-29	Genoa				Behrend & Co.	1,120	tons	cotton seed
1906-08-29	Genoa				S. R. Barda & Sons	29	tons	cotton seed
1906-08-29	Genoa				G. Frauger & Co.	31	bales	cotton
1906-08-29	Genoa				W. Getty & Co.	124	bales	cotton
1906-08-29	Genoa				R. & O. Lindemann	30	bales	cotton
1906-08-29	Genoa				Schmid & Co.	62	bales	cotton
1906-08-29	Genoa				Choremi, Benachi & Co.	30	bales	cotton
1906-08-29	Genoa				Peel & Co.	31	bales	cotton
1906-08-29	Genoa				Mohr & Fenderl	158	bales	cotton
1906-08-29	Genoa				Mohr & Fenderl	466	bales	cotton
1906-08-29	Genoa				G. Frauger & Co.	25	bales	cotton
1906-08-29	Genoa				Mohr & Fenderl	50	bales	cotton
1906-08-29	Genoa				Mohr & Fenderl	75	bales	cotton
1906-06-04	Genoa				Elias G. Carslis	500	bags	onions
1906-06-04	Genoa				Griva Bros.	4430	bags	onions
1906-06-04	Genoa				Stern Bros.	850	bags	onions
1906-06-04	Genoa				Deposito Birra di Graz	2250		empty barrels
1906-06-04	Genoa				Kyriazi Bros.	21	cases	cigarettes
1906-06-04	Genoa				Eredi Albertini	317		empty barrels
1906-06-04	Genoa				P. Delacovias	35		empty barrels
1906-06-04	Genoa				A Ton Dreher	150		empty barrels
1906-06-04	Genoa				Mohamed Dahi	55	baskets	tomatoes
1906-06-04	Genoa				S. Levy	90	baskets	tomatoes
1906-06-04	Genoa				Sednaoui & Chiniari	68		empty barrels
1906-06-04	Genoa				A. Dockhorn	244		empty barrels
1906-06-04	Genoa				R. Delia	361		empty barrels
1906-06-04	Genoa				G. Brach & Co.	10	bales	gum
1906-06-04	Genoa				Various	97	packages	sundries
1906-06-04	Genoa				E. Mallison & Co.	124	bales	cotton
1906-06-04	Genoa				Carver Bros. & Co. Ltd.	30	bales	cotton
1906-06-04	Genoa				G. Riecken	60	bales	cotton
1906-06-04	Genoa				Choremi, Benachi & Co.	30	bales	cotton
1906-06-04	Genoa				J. Planta & Co.	62	bales	cotton
1906-06-04	Genoa				R. & O. Lindemann	30	bales	cotton
1906-06-04	Genoa				Adolf Hess & Co.	990	bags	onions
1906-06-04	Genoa				S. G. Violara	339	bags	onions
1906-06-04	Genoa				J. Sarfati	200	bales	skins
1906-06-04	Genoa				Sednaoui	116		empty barrels
1906-06-04	Genoa				Chimara	177		empty barrels
1906-06-04	Genoa				Deposito Birra di Graz	1,000		empty barrels
1906-06-04	Genoa				P. M. Statira	61	bales	skins
1906-06-04	Genoa				P. Delacovias	71		empty barrels
1906-06-04	Genoa				A. Dreher	530		empty barrels
1906-06-04	Genoa				Eredi Albertini	987		empty barrels
1906-06-04	Genoa				E. Almasy & Co.	438		empty barrels
1906-06-04	Genoa				Various	95	packages	sundries
1905-11-29	Genoa				R. & O. Lindemann	210	bales	cotton
1905-11-29	Genoa				Schmid & Co.	75	bales	cotton
1905-11-29	Genoa				H. Bindernagel	660	bales	cotton
1905-11-29	Genoa				W. Getty & Co.	125	bales	cotton
1905-11-29	Genoa				Choremi, Benachi & Co.	1609	bales	cotton
1905-11-29	Genoa				G. Riecken	70	bales	cotton
1905-11-29	Genoa				E. Mallison & Co.	325	bales	cotton
1905-11-29	Genoa				J. Planta & Co.	175	bales	cotton
1905-11-29	Genoa				Peel & Co.	2500	bales	cotton
1905-11-29	Genoa				Mohr & Fenderl	100	bales	cotton
1905-11-29	Genoa				Birch & Co.	250	bales	cotton
1905-11-29	Genoa				F. Andres	50	bales	cotton
1905-11-29	Genoa				Moursi Bros.	30	bales	cotton
1905-11-29	Genoa				Carver Bros. & Co. Ltd.	851	bales	cotton
1905-11-29	Genoa				Carver Bros. & Co. Ltd.	7030	bales	cotton
1905-11-29	Genoa				S. Attal	79	cases	eggs
